"","CON_1","CON_2","PNA_1","PNA_2"
"LK433_RS03220",42.701322391738,42.6176522857308,54.742343824405,50.1537376420127
"LK433_RS03225",536.140091509382,503.457217753284,511.630267457543,591.190528720986
"LK433_RS03230",7.29156917061348,16.709325433867,15.2883733003037,14.0346301000745
"LK433_RS03235",5.58503170515075,10.8375514996598,28.8763956049257,16.931138865409
"LK433_RS03240",571.732463241124,540.146685462902,713.714060040798,523.511896445152
"LK433_RS03245",1902.40511837101,1989.48774762591,2432.70449090591,1744.03670043592
"LK433_RS03250",240.156363321482,247.818677625555,215.175722088317,201.292428733196
"LK433_RS03255",6529.17406161856,6539.49586441313,4000.78408491027,4120.05704719641
"LK433_RS03260",3498.42705950992,3600.3018178087,1955.86131281465,2126.83395630501
"LK433_RS03265",4350.85378942703,3989.1663591006,2351.36208875802,2540.04414934535
"LK433_RS03270",5072.03308512493,4967.33079584458,3155.08571108067,3532.99830818616
"LK433_RS03275",164.378870040432,171.766423024058,105.837913487142,124.042966132066
"LK433_RS03280",92.8367636199131,81.1288562551616,63.1620758584459,65.7487131135064
"LK433_RS03285",106.534835057666,109.908766557364,74.5268412546729,82.343638892498
"LK433_RS03290",155.036989490169,150.050416159248,127.236618134204,121.574983241895
"LK433_RS03295",154.364070739583,146.347084325036,142.622484385619,159.487147584038
"LK433_RS03300",144.930494557213,144.221727807571,162.950769967365,167.277618219807
"LK433_RS03305",60.4771325327353,65.4739222408642,132.342536255972,103.73242776908
"LK433_RS03310",88.4055536747955,89.6886936845337,84.1580662147902,88.5327009382807
"LK433_RS03315",728.21606942643,970.531869997493,1101.56988852922,770.093735491183
"LK433_RS03320",203.334261510499,200.699438399317,676.43980943177,719.147344674954
"LK433_RS03325",97.8982811595482,95.1927884183235,107.895814848865,100.980313949552
"LK433_RS03330",125.756686699869,132.42067109933,127.311035556067,105.43589265558
"LK433_RS03335",182.614201707481,166.856029662729,153.414122251491,176.836339260938
"LK433_RS03340",170.396428514647,158.898436114208,221.921042529958,182.019473342725
"LK433_RS03345",53.2939116207052,54.5874723413624,54.3826791764932,47.9931609685219
"LK433_RS03350",73.9028579938486,68.3332631787782,123.662626776191,83.2491074059187
"LK433_RS03355",52.0873080214676,55.7332020619277,92.7632801094153,62.4478103892327
"LK433_RS03360",62.6823515253083,57.4938335534827,73.3698140609247,67.0758528231146
"LK433_RS03365",62.2061994867962,58.3647304721263,57.9177437385086,43.8406757751076
"LK433_RS03370",41.4707996578642,46.2201501920677,52.5972160984881,52.191280684652
"LK433_RS03375",49.7699767241874,44.965343643135,47.2613474875528,27.579979517761
"LK433_RS03380",55.5515827975111,51.9631190199193,46.8347841694294,39.8909881588628
"LK433_RS03385",42.5904901223913,51.1613772230078,36.242004738077,33.6691705546489
"LK433_RS03390",64.6446580200658,64.2661412113161,54.758099051305,44.6049870673113
"LK433_RS03395",62.5318863951041,58.4925161742547,52.3759585541462,41.4315506907172
"LK433_RS03400",76.4582937088385,73.1477925642658,54.5189161086303,44.9041962117006
"LK433_RS03405",131.591826864422,115.918299530742,68.0772852979494,66.6608189884166
"LK433_RS03410",217.721698203787,216.303228386092,110.134922148424,122.496005842213
"LK433_RS03415",194.184690233095,209.772583862585,97.123624984089,104.713668470214
"LK433_RS03420",284.087110543382,252.256913001606,476.087525583012,257.216493470456
"LK433_RS03425",275.62131464919,239.401512627485,261.149738381256,205.130153542689
"LK433_RS03430",189.964565234404,178.102882951847,130.239002839076,124.028233371802
"LK433_RS03435",90.8931812129922,106.166481510844,77.9994593926155,70.1247552241652
"LK433_RS03440",153.801238087126,141.270890952499,101.701620696418,127.258192465559
"LK433_RS03445",182.067793325232,181.64770700124,127.922169851812,152.478188408293
"LK433_RS03450",293.341897895374,307.761391493284,510.724617330795,405.273187612214
"LK433_RS03455",50.2913836253528,53.6340632783788,168.165611667275,179.315353362727
"LK433_RS03460",87.6865957770771,88.4162284483454,301.451766402965,313.321611122564
"LK433_RS03465",86.2020455146785,90.430152809798,98.4886938618205,115.867804195935
"LK433_RS03470",151.259188265731,144.358129930895,121.132156248697,143.134346352464
"LK433_RS03475",172.821642069985,157.520879423677,128.81964423383,153.227299202541
"LK433_RS03480",121.08423956049,99.7006084538851,121.464651785333,104.196496197523
"LK433_RS03485",186.926363893899,183.462194242681,96.472877824806,87.4985155629903
"LK433_RS03490",16.8747743662769,16.4937212347204,111.327154668575,125.048554191664
"LK433_RS03495",30.2199716493056,30.1627782072099,56.6023300511245,44.9757163438225
"LK433_RS03500",41.687454889368,42.7254181936043,47.0100390638624,46.3833021012297
"LK433_RS03505",134.208731801968,152.68181576413,289.016090476077,253.288140069239
"LK433_RS03510",49.218091901641,45.479010757501,119.614147923399,104.207128493053
"LK433_RS03515",126.3871989573,124.511425007203,346.459247466984,307.826220194967
"LK433_RS03520",38.3888147638623,38.5211415491203,51.9134486841072,40.8890349674502
"LK433_RS03525",61.3255992253343,54.4953735889008,52.8614169719414,48.8423513460889
"LK433_RS03530",59.9754638868942,50.6356013780731,50.2088475969354,40.2918241354037
"LK433_RS03535",42.7459880735964,39.0668874793242,39.8441275135856,32.1225643795099
"LK433_RS03540",77.2317319533642,76.286501090131,63.536373364886,50.2431938847234
"LK433_RS03545",26.1074295536052,21.1841138240513,35.6477705055914,43.9353443519824
"LK433_RS03550",434.788000853901,431.180614247061,182.794210289245,167.721064041302
"LK433_RS03555",111.484254950696,106.936845879392,82.0561375579699,53.7747932255485
"LK433_RS03560",57.6963761889483,72.0935584696983,36.7284746003331,33.8244004626627
"LK433_RS03565",386.314201159218,377.341187730757,225.429494996055,229.6691693204
"LK433_RS03570",871.547335247036,834.299677343335,207.526198479129,209.496421582306
"LK433_RS03575",312.999847116427,307.861931458949,87.762436174031,86.1092466140053
"LK433_RS03580",364.612531283808,370.942490898689,116.611190572198,128.357841270401
"LK433_RS03585",118.884279955655,135.338505442612,91.3676696840287,51.2569099307068
"LK433_RS03590",126.579595071021,125.759034476213,78.7431997934436,77.0779635055193
"LK433_RS03595",44.9168853684139,43.7188992300572,42.9604851370129,36.3441727226367
"LK433_RS03600",42.1069455176724,40.3899146276856,41.9125797046723,36.5139881409105
"LK433_RS03605",40.0675335612919,37.2077345656088,33.8105609350552,32.3908146171026
"LK433_RS03610",43.7101426583095,36.944960121282,39.7717287471097,41.2723951596445
"LK433_RS03615",11.8767583729931,9.3748144874358,21.8901708617985,15.4596186163704
"LK433_RS03620",85.4873626899511,93.4811482420849,122.366893821318,120.431644841501
"LK433_RS03625",52.8010181320286,44.1059279806079,156.502141103893,90.4507712311696
"LK433_RS03630",48.049111831905,44.1783333982447,56.9036873999579,59.1988973570095
"LK433_RS03635",56.3474141142696,55.1145289179908,90.5404972817845,70.8271201751926
"LK433_RS03640",92.3730855255436,90.0616236218108,93.9849727218524,85.0544349162666
"LK433_RS03645",1091.08016591816,1026.072775781,980.271413479962,1264.0102320806
"LK433_RS03650",2643.38570774661,2799.18364372652,6778.27220545165,6809.44001831287
"LK433_RS03655",416.648203721812,426.235893032083,884.059474705705,1038.25692259145
"LK433_RS03660",16.2130185087759,25.1686196003865,27.2983307217723,21.8444889675277
"LK433_RS03665",623.146301490317,607.725043060235,428.745415500054,411.601824141839
"LK433_RS03670",304.134793763186,291.882485577833,184.4707622522,218.231293420583
"LK433_RS03675",241.988951849735,274.086838165206,230.628585865377,195.783089896039
"LK433_RS03680",90.0035675487175,93.6643891102067,117.527380453931,83.6935346120472
"LK433_RS03685",4.37494150236809,3.62215054566408,23.3495155859184,14.1469071408751
