"","CON_0_1","CON_0_2","CON_0_3","CON_10_1","CON_10_2","CON_10_3","CON_20_1","CON_20_2","CON_20_3","CON_30_1"
"LK433_RS11620",319.826281925413,301.903535879968,304.77554049465,338.150930469363,254.924914264221,370.071960978743,348.739357559318,390.405857075687,411.802086412265,419.127504343303
"LK433_RS11625",504.644817983719,448.184563144751,416.805939765812,443.004287262153,355.02149220891,385.278216372035,479.970388058734,441.095334522623,530.680607435167,487.268910220631
"LK433_RS11630",217.909985629968,242.950051805837,239.214331524517,246.424373125006,282.937038891503,265.132603384396,244.477892402347,228.681780011675,234.133242141564,236.112235038596
"LK433_RS11635",239.162172196054,284.239592629981,267.998306195716,293.27614197951,268.239736654003,270.82691283372,265.015957870991,266.093743944049,277.046861449846,272.82543227725
"LK433_RS11640",0.349080458845906,1.31999810818877,0.753288611678161,0.609569022720541,0,0.635707968472816,2.78575538288909,1.44955489358313,0.839107046428886,0.287199234951827
"LK433_RS11645",347.536638225095,374.210167910191,386.88266513865,401.298175711157,258.046941496522,399.099253333906,344.884363599931,311.327641862665,339.743806530862,340.59806735463
"LK433_RS11650",199.128412451347,265.922453527635,247.295160963714,251.702808883718,219.132855731124,251.455037765606,238.47820884071,203.009021464512,207.401494023039,180.78287275698
"LK433_RS11655",191.469505610983,180.774450592854,226.292758874646,180.912220536712,301.490287343405,207.216189671746,162.184881130266,163.713197279632,191.424678462745,148.834055145197
"LK433_RS11660",55.4834581724886,62.7447644436137,59.8645041834134,51.159411814638,226.286586094191,76.1738616203058,49.1699348164308,38.219696138334,42.7944593678732,33.7026908044925
"LK433_RS11665",65.9861593854337,80.7080575082852,93.2248349645798,98.1390034472818,265.588674050786,101.131941163995,69.9998258619101,59.4853244714126,77.4999976936669,60.6457425686924
"LK433_RS11670",91.2409049308487,98.4865255165287,84.8391298902529,101.68373260257,135.284103295118,76.5498345369349,135.805574915843,124.752318028999,87.9663887006283,117.177287860345
"LK433_RS11675",199.759231075797,174.218962909135,157.452148356714,149.809986906721,191.741248764734,137.342954637458,210.050342886189,193.84087210805,200.493726959721,209.673532805224
"LK433_RS11680",89.7935446607688,92.7595585744169,83.6992725405124,92.065293632075,113.573066519515,109.514996913206,84.3031166256309,87.6580126681909,82.178563361957,83.9293620310764
"LK433_RS11685",67.9878719171133,60.6795048713306,66.005953770988,67.8067786625744,232.507227091755,65.5038680167194,70.7382884726481,75.9546426094923,60.1524161012708,57.3929573193528
"LK433_RS11690",77.8885773799928,30.8549557789125,76.8354383911724,41.774527088317,188.431429589628,77.0001276812698,72.0814205322553,47.3596762887865,56.1677279203336,59.5040914915816
"LK433_RS11695",144.205137549244,79.8862855075843,92.2025260694069,90.4661386619554,111.319490711411,93.3727864092872,176.505461059853,128.633501256567,132.662824040407,123.036152253363
"LK433_RS11700",79.6582544672223,69.1579896204975,81.7196023503382,65.7304726564646,169.781219835023,64.3996038232428,72.0493320530155,73.5172932184542,78.2130818822393,78.4347972068608
