"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS04055",-0.325000048871101,5.50533774760211,2.46006348647634,0.144669069822129,0.190093327610315,"LK433_RS04055","LK433_RS04055"
"LK433_RS06050",0.226207585245017,9.38715624468962,2.45997723333533,0.144675459779369,0.190093327610315,"LK433_RS06050","LK433_RS06050"
"LK433_RS01265",-0.308073569848259,9.263640023717,2.45123172796197,0.145325222948633,0.190836303734538,"LK433_RS01265","LK433_RS01265"
"LK433_RS04590",0.412298498603727,4.68364932201416,2.45033710579805,0.145391899126867,0.190836303734538,"LK433_RS04590","LK433_RS04590"
"LK433_RS06175",0.429727526509729,4.3497853190976,2.42747294080085,0.14710922332033,0.192990200598752,"LK433_RS06175","LK433_RS06175"
"LK433_RS08840",0.245729162048544,6.80616399063316,2.42323807391063,0.147430126317922,0.193310871022669,"LK433_RS08840","LK433_RS08840"
"LK433_RS13780",0.389594313787826,4.60336619555675,2.42119257185503,0.147585445661123,0.193414207688605,"LK433_RS13780","LK433_RS13780"
"LK433_RS09245",0.310240324316113,5.64606599111103,2.41787808198046,0.147837563662545,0.193644228465758,"LK433_RS09245","LK433_RS09245"
"LK433_RS07465",0.353483424387562,5.07382803747313,2.38526448918908,0.150347773221608,0.196830228225906,"LK433_RS07465","LK433_RS07465"
"LK433_RS13850",0.379736216675723,4.66793679024139,2.36527612498684,0.151913079172598,0.198776534238265,"LK433_RS13850","LK433_RS13850"
"LK433_RS08880",0.206654743246604,9.10207788830965,2.36159721085844,0.15220343588932,0.199053432968546,"LK433_RS08880","LK433_RS08880"
"LK433_RS03780",0.203158793301502,6.93629731820508,2.35886060885219,0.152419879684962,0.199233431149733,"LK433_RS03780","LK433_RS03780"
"LK433_RS00635",-0.216410350628622,7.72278910281188,2.35576823265318,0.152664934602749,0.199450622571446,"LK433_RS00635","LK433_RS00635"
"LK433_RS01835",0.217994389200841,6.86900670183221,2.35160461813763,0.152995673259739,0.199779474173875,"LK433_RS01835","LK433_RS01835"
"LK433_RS13585",-0.346543328827783,5.43040993301959,2.34902919894717,0.15320071006803,0.199943931363955,"LK433_RS13585","LK433_RS13585"
"LK433_RS14780",-0.183173500455859,8.10191397966912,2.33635408410673,0.15421493384942,0.201163752719986,"LK433_RS14780","LK433_RS14780"
"LK433_RS14285",-0.255686301818838,6.15954271954928,2.32557045257397,0.155084557187128,0.202193790907199,"LK433_RS14285","LK433_RS14285"
"LK433_RS08830",0.272438999772063,6.47975145315368,2.32427684433629,0.155189297340216,0.202226053441271,"LK433_RS08830","LK433_RS08830"
"LK433_RS00855",-0.181535490959754,8.1373796520052,2.31717593505046,0.1557658504141,0.202872781992192,"LK433_RS00855","LK433_RS00855"
"LK433_RS12900",-0.220848236208517,7.05979752087253,2.29049060892566,0.157957152286821,0.205620844995408,"LK433_RS12900","LK433_RS12900"
"LK433_RS01875",0.431223205454276,3.84460916666887,2.28556237408094,0.158366140520313,0.206047145257515,"LK433_RS01875","LK433_RS01875"
"LK433_RS14075",0.355364344551309,5.10171767546181,2.28068446856807,0.158772285914283,0.206469310077833,"LK433_RS14075","LK433_RS14075"
"LK433_RS03630",0.196731426902395,7.18199873623767,2.27846481266956,0.158957540321184,0.206603939296634,"LK433_RS03630","LK433_RS03630"
"LK433_RS11220",-0.356021949461056,4.96986010279,2.27656370610052,0.159116428118977,0.206704177946955,"LK433_RS11220","LK433_RS11220"
"LK433_RS03420",0.31799694461603,7.96782461166476,2.26937882031939,0.15971875315443,0.207380076001232,"LK433_RS03420","LK433_RS03420"
"LK433_RS09740",0.243425544423844,6.53299595817892,2.26806145155281,0.159829507347989,0.207417348344823,"LK433_RS09740","LK433_RS09740"
"LK433_RS12615",-0.353226999971913,5.06318018449564,2.26425798620362,0.16014982519378,0.207726402303681,"LK433_RS12615","LK433_RS12615"
"LK433_RS00605",0.236588591561242,10.2139533447781,2.2591375744395,0.160582351313845,0.208180607241744,"LK433_RS00605","LK433_RS00605"
"LK433_RS07740",0.341801926606361,5.20582632646231,2.25235251344011,0.161157797991427,0.208819535275411,"LK433_RS07740","LK433_RS07740"
"LK433_RS00220",-0.294356670421617,5.94234854212503,2.24768550996295,0.161555143561495,0.209128740171985,"LK433_RS00220","LK433_RS00220"
"LK433_RS12425",0.181785536964202,8.09902526306462,2.24760652848954,0.161561878780019,0.209128740171985,"LK433_RS12425","LK433_RS12425"
"LK433_RS02295",-0.212887069884579,6.83725096580468,2.23861323343855,0.162331148015844,0.210016961199618,"LK433_RS02295","LK433_RS02295"
"LK433_RS03310",-0.181901077031037,7.86746035718653,2.22024435657686,0.163917027038467,0.211960227290662,"LK433_RS03310","LK433_RS03310"
"LK433_RS09915",0.366077911652812,4.98032054279865,2.20873090447618,0.164921178454967,0.213149662134027,"LK433_RS09915","LK433_RS09915"
