Bovatus_RS02055	Bovatus_00420
Bovatus_RS02060	Bovatus_00421
Bovatus_RS02065	Bovatus_00423
Bovatus_RS25410	Bovatus_00424
Bovatus_RS02070	Bovatus_00425
Bovatus_RS02075	Bovatus_00426
Bovatus_RS02085	Bovatus_00427
Bovatus_RS02090	Bovatus_00428
Bovatus_RS02095	Bovatus_00429
Bovatus_RS02100	Bovatus_00430
Bovatus_RS02105	Bovatus_00431
Bovatus_RS02110	Bovatus_00432
Bovatus_RS02115	Bovatus_00433
Bovatus_RS02120	Bovatus_00434
Bovatus_RS02125	Bovatus_00435
Bovatus_RS02130	Bovatus_00436
Bovatus_RS02135	Bovatus_00437
Bovatus_RS02140	Bovatus_00438
Bovatus_RS02145	Bovatus_00439
Bovatus_RS02150	Bovatus_00440
Bovatus_RS02155	Bovatus_00441
Bovatus_RS02160	Bovatus_00442
Bovatus_RS02165	Bovatus_00443
Bovatus_RS02170	Bovatus_00444
Bovatus_RS02175	Bovatus_00445
Bovatus_RS25415	Bovatus_00446
Bovatus_RS02180	Bovatus_00447
Bovatus_RS02185	Bovatus_00448
Bovatus_RS02190	Bovatus_00449
Bovatus_RS02195	Bovatus_00450
Bovatus_RS02200	Bovatus_00451
Bovatus_RS02205	Bovatus_00452
Bovatus_RS02210	Bovatus_00453
Bovatus_RS02215	Bovatus_00454
Bovatus_RS02220	Bovatus_00455
Bovatus_RS02225	Bovatus_00456
Bovatus_RS02230	Bovatus_00457
Bovatus_RS02235	Bovatus_00458
Bovatus_RS02240	Bovatus_00459
Bovatus_RS02250	Bovatus_00461
Bovatus_RS02255	Bovatus_00462
Bovatus_RS02260	Bovatus_00463
Bovatus_RS02265	Bovatus_00464
Bovatus_RS02270	Bovatus_00465
Bovatus_RS02275	Bovatus_00466
Bovatus_RS02280	Bovatus_00467
Bovatus_RS02285	Bovatus_00468
Bovatus_RS02290	Bovatus_00469
Bovatus_RS02295	Bovatus_00470
Bovatus_RS02300	Bovatus_00471
Bovatus_RS02305	Bovatus_00472
Bovatus_RS02310	Bovatus_00473
Bovatus_RS02315	Bovatus_00474
Bovatus_RS02320	Bovatus_00475
Bovatus_RS02325	Bovatus_00476
Bovatus_RS02330	Bovatus_00477
Bovatus_RS02335	Bovatus_00478
Bovatus_RS02340	Bovatus_00479
Bovatus_RS02345	Bovatus_00480
Bovatus_RS02350	Bovatus_00481
Bovatus_RS02355	Bovatus_00482
Bovatus_RS02360	Bovatus_00483
Bovatus_RS02365	Bovatus_00484
Bovatus_RS02370	Bovatus_00485
Bovatus_RS02375	Bovatus_00486
Bovatus_RS02380	Bovatus_00487
Bovatus_RS02385	Bovatus_00488
Bovatus_RS02390	Bovatus_00489
Bovatus_RS02395	Bovatus_00490
Bovatus_RS02400	Bovatus_00491
Bovatus_RS02405	Bovatus_00492
Bovatus_RS02410	Bovatus_00493
Bovatus_RS02415	Bovatus_00494
Bovatus_RS02420	Bovatus_00495
Bovatus_RS02425	Bovatus_00496
Bovatus_RS02430	Bovatus_00497
Bovatus_RS02435	Bovatus_00498
Bovatus_RS02440	Bovatus_00499
Bovatus_RS02445	Bovatus_00500
Bovatus_RS02450	Bovatus_00501
Bovatus_RS02455	Bovatus_00502
Bovatus_RS02460	Bovatus_00503
Bovatus_RS02465	Bovatus_00504
Bovatus_RS02470	Bovatus_00505
Bovatus_RS02475	Bovatus_00506
Bovatus_RS02480	Bovatus_00507
Bovatus_RS02485	Bovatus_00508
Bovatus_RS02490	Bovatus_00509
Bovatus_RS02495	Bovatus_00510
Bovatus_RS02500	Bovatus_00511
Bovatus_RS02505	Bovatus_00512
Bovatus_RS02510	Bovatus_00513
Bovatus_RS02515	Bovatus_00514
Bovatus_RS02520	Bovatus_00515
Bovatus_RS02525	Bovatus_00516
Bovatus_RS02530	Bovatus_00517
Bovatus_RS02535	Bovatus_00518
Bovatus_RS02540	Bovatus_00519
Bovatus_RS02545	Bovatus_00520
Bovatus_RS02550	Bovatus_00521
