"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS09960",-0.00995514210633466,8.72200725382145,0.0120794756644748,0.912868702793437,0.97276914338349,"LK433_RS09960","LK433_RS09960"
"LK433_RS07430",-0.0164875770999592,6.6809092284115,0.0117809331921315,0.913947808680368,0.973545479365317,"LK433_RS07430","LK433_RS07430"
"LK433_RS01855",-0.0578574719509014,2.45639844999246,0.0116709660879003,0.914348775477558,0.973599137078673,"LK433_RS01855","LK433_RS01855"
"LK433_RS14570",-0.00767587952844647,9.31266665621937,0.0114818393482251,0.915042874193653,0.973964761071589,"LK433_RS14570","LK433_RS14570"
"LK433_RS06405",-0.0191429549385991,7.76679102668691,0.0112423802003756,0.916176393247991,0.974310734067885,"LK433_RS06405","LK433_RS06405"
"LK433_RS07470",-0.0326824728923505,4.18373446770222,0.0111111037450886,0.916420467189527,0.974310734067885,"LK433_RS07470","LK433_RS07470"
"LK433_RS08400",-0.0279596984896611,5.69417278192521,0.0111968133560285,0.916153018070723,0.974310734067885,"LK433_RS08400","LK433_RS08400"
"LK433_RS08775",0.00723248458200755,10.1833268667422,0.0109804783100897,0.916911374990261,0.974459582222715,"LK433_RS08775","LK433_RS08775"
"LK433_RS05305",-0.0409194278644747,3.65714721728865,0.0105476218599302,0.918559571806989,0.975837770048971,"LK433_RS05305","LK433_RS05305"
"LK433_RS00520",0.00577414756372463,11.5293932906555,0.0102285512582284,0.919796503968692,0.97628071922107,"LK433_RS00520","LK433_RS00520"
"LK433_RS02640",0.0112599806648394,7.71429832699795,0.0102920648022939,0.91954874529154,0.97628071922107,"LK433_RS02640","LK433_RS02640"
"LK433_RS03355",0.0148387986941892,6.68800925528419,0.0101685695632217,0.920031199928535,0.97628071922107,"LK433_RS03355","LK433_RS03355"
"LK433_RS08960",-0.0151588270625264,9.64232500151356,0.0100713271977942,0.920806043755461,0.97658451784084,"LK433_RS08960","LK433_RS08960"
"LK433_RS14655",-0.0133008107406153,7.31786091826511,0.00991760699035921,0.921020832634195,0.97658451784084,"LK433_RS14655","LK433_RS14655"
"LK433_RS07290",0.0112276625163858,7.66705971558448,0.00944238290331512,0.922930088848723,0.97798837894452,"LK433_RS07290","LK433_RS07290"
"LK433_RS07480",0.0215386615391881,5.56581921850616,0.0093640071790304,0.923249592880211,0.97798837894452,"LK433_RS07480","LK433_RS07480"
"LK433_RS12965",0.0254159644070365,5.09583258841393,0.00932689770725179,0.923401343029359,0.97798837894452,"LK433_RS12965","LK433_RS12965"
"LK433_RS13655",-0.00982616084579882,2.66786224396212,0.00916129453971408,0.924095554287657,0.978350497238591,"LK433_RS13655","LK433_RS13655"
"LK433_RS02015",-0.0145058827097935,6.49238203736505,0.00871000731346847,0.925970096698922,0.978469923338245,"LK433_RS02015","LK433_RS02015"
"LK433_RS03030",0.013392044480396,6.76921179442411,0.00883578502067064,0.925439082937579,0.978469923338245,"LK433_RS03030","LK433_RS03030"
"LK433_RS06465",-0.0180696731887916,5.75323664279307,0.00878192642485075,0.925665995549536,0.978469923338245,"LK433_RS06465","LK433_RS06465"
"LK433_RS11560",-0.0231106588460616,5.4597546406655,0.00879185765706704,0.925624101416482,0.978469923338245,"LK433_RS11560","LK433_RS11560"
"LK433_RS14795",-0.0321540545315544,3.98062808841627,0.00893499718905647,0.92502290954738,0.978469923338245,"LK433_RS14795","LK433_RS14795"
"LK433_RS03340",0.0118568069238042,7.29759588106123,0.00854654930656132,0.926666004596406,0.978597557908283,"LK433_RS03340","LK433_RS03340"
