"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS09095",0.279725584402443,5.13221022524229,1.55975497995135,0.216796267313007,0.405336857465408,"LK433_RS09095","LK433_RS09095"
"LK433_RS14550",-0.186053388783725,6.97067101429276,1.55904341913928,0.216899737196109,0.405336857465408,"LK433_RS14550","LK433_RS14550"
"LK433_RS13250",-0.147559966328646,7.93124476396562,1.55786196824124,0.217071667741898,0.405385353947042,"LK433_RS13250","LK433_RS13250"
"LK433_RS03255",0.0665588612900989,11.6775950158722,1.54885225828299,0.218388276118409,0.407570055632272,"LK433_RS03255","LK433_RS03255"
"LK433_RS06175",-0.545634973493175,3.59696562928917,1.54588140308786,0.218824544475459,0.408043741101946,"LK433_RS06175","LK433_RS06175"
"LK433_RS13275",-0.154236033066409,7.84264893254019,1.54512382134157,0.218935964797227,0.408043741101946,"LK433_RS13275","LK433_RS13275"
"LK433_RS00920",-0.186913813273204,7.13357025308493,1.54273751466237,0.219287379876902,0.408150840427719,"LK433_RS00920","LK433_RS00920"
"LK433_RS01210",-0.122460287883295,8.72021770311672,1.54285450316198,0.219270135759707,0.408150840427719,"LK433_RS01210","LK433_RS01210"
"LK433_RS03150",-0.309916517491315,5.38736078593548,1.54093503342931,0.21955327489426,0.408354796867728,"LK433_RS03150","LK433_RS03150"
"LK433_RS04400",-0.332562391360958,4.87232355467053,1.54000206308946,0.219691057443423,0.408354796867728,"LK433_RS04400","LK433_RS04400"
"LK433_RS03805",0.198728779288454,6.92436101770858,1.53756911556316,0.220050855366472,0.408749983513507,"LK433_RS03805","LK433_RS03805"
"LK433_RS02350",0.194342382669215,7.16920598608874,1.53488040336285,0.220449313691246,0.40921640649772,"LK433_RS02350","LK433_RS02350"
"LK433_RS09000",-0.181188008222582,7.20916569492466,1.53006692005847,0.221164857626084,0.410270413912916,"LK433_RS09000","LK433_RS09000"
"LK433_RS13605",-0.122173499897985,8.7010669580017,1.52396697487466,0.222075717948817,0.411685092619403,"LK433_RS13605","LK433_RS13605"
"LK433_RS10285",-0.282347609666396,5.75839313315678,1.51753747899673,0.223040754482128,0.413198248963889,"LK433_RS10285","LK433_RS10285"
"LK433_RS13400",-0.208238362580715,6.54921105849535,1.51244793772116,0.223808308232099,0.414343781307027,"LK433_RS13400","LK433_RS13400"
"LK433_RS14840",-0.227010870201522,6.41246548355162,1.50750320760693,0.224557120533973,0.415453113739403,"LK433_RS14840","LK433_RS14840"
"LK433_RS06685",0.149293002042718,8.01219341226992,1.49162988737105,0.226981747075486,0.419659328647553,"LK433_RS06685","LK433_RS06685"
"LK433_RS08450",0.175173525298728,7.17883702868882,1.4852229987093,0.227969477859825,0.421205083178133,"LK433_RS08450","LK433_RS08450"
"LK433_RS01255",0.0929724912442387,9.41128947570086,1.48086151083472,0.228644895050129,0.422172123373809,"LK433_RS01255","LK433_RS01255"
"LK433_RS07195",-0.0758204320658167,11.2164296623763,1.4795179996268,0.228853445355925,0.422276423756415,"LK433_RS07195","LK433_RS07195"
