"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS00750",0.980816151957289,6.33581161925773,30.6483586687919,8.12211927012647e-07,2.81939065164265e-05,"LK433_RS00750","LK433_RS00750"
"LK433_RS10760",0.590313865639055,7.74227089565839,30.1309412214343,9.66518880385375e-07,3.31360855658048e-05,"LK433_RS10760","LK433_RS10760"
"LK433_RS08955",0.428378499742471,10.5564063074275,29.9548181334496,1.02573255700187e-06,3.47373086682219e-05,"LK433_RS08955","LK433_RS08955"
"LK433_RS12240",-0.629641040617005,8.0335056964818,29.5132718046402,1.19130937725995e-06,3.98586282006131e-05,"LK433_RS12240","LK433_RS12240"
"LK433_RS05190",-0.51776832029451,8.61370991630468,29.3606087274228,1.25481092149385e-06,4.13008198767552e-05,"LK433_RS05190","LK433_RS05190"
"LK433_RS13030",-0.35397894349989,11.3683053003937,29.3388136160648,1.26415905276348e-06,4.13008198767552e-05,"LK433_RS13030","LK433_RS13030"
"LK433_RS07195",-0.321744672824925,11.2164296623763,29.2210929080219,1.31591396462669e-06,4.20033687329692e-05,"LK433_RS07195","LK433_RS07195"
"LK433_RS12220",-0.518197728762199,8.3865654519612,29.2318006589492,1.31111685420176e-06,4.20033687329692e-05,"LK433_RS12220","LK433_RS12220"
"LK433_RS00405",-0.330745276367122,12.6494293914691,28.6231343821818,1.61488399076051e-06,5.09606004811583e-05,"LK433_RS00405","LK433_RS00405"
"LK433_RS02400",0.49747800078188,8.38506563360982,28.2786359093435,1.81833303439353e-06,5.61994927588982e-05,"LK433_RS02400","LK433_RS02400"
"LK433_RS08715",-0.42605719031965,9.66085442657014,28.2737959792644,1.8213735499823e-06,5.61994927588982e-05,"LK433_RS08715","LK433_RS08715"
"LK433_RS00460",-0.356626491262459,10.5735905186885,28.1963503276266,1.87074970717298e-06,5.70887026024106e-05,"LK433_RS00460","LK433_RS00460"
"LK433_RS00455",-0.411819586928481,10.8238555557406,28.1265454438117,1.91644386025717e-06,5.78474413036322e-05,"LK433_RS00455","LK433_RS00455"
"LK433_RS00475",-0.342938509786178,11.8604279738795,27.8950891960064,2.07641293238841e-06,6.20021367015335e-05,"LK433_RS00475","LK433_RS00475"
"LK433_RS07570",0.33859034231468,10.3129128057318,27.6117266545587,2.29129323938347e-06,6.76906524017861e-05,"LK433_RS07570","LK433_RS07570"
"LK433_RS00045",-0.45053096563523,9.06957792451179,27.2904504987432,2.56306299465416e-06,7.41419368349439e-05,"LK433_RS00045","LK433_RS00045"
"LK433_RS00515",-0.298819485899793,13.4195519013239,27.3162866764918,2.54002030070719e-06,7.41419368349439e-05,"LK433_RS00515","LK433_RS00515"
"LK433_RS06515",0.542233059020343,8.78091155517313,27.1235540030909,2.71723322199758e-06,7.77913057472916e-05,"LK433_RS06515","LK433_RS06515"
"LK433_RS00500",-0.367085058685613,11.2278738579102,26.7909133758979,3.05387803632357e-06,8.65369317027606e-05,"LK433_RS00500","LK433_RS00500"
"LK433_RS01510",-0.683094715076133,7.12752553478224,26.3872831173443,3.52126664379978e-06,9.87733077760807e-05,"LK433_RS01510","LK433_RS01510"
"LK433_RS00430",-0.336989789633595,11.824700735255,26.2748084900177,3.66430531273186e-06,0.000101757758534564,"LK433_RS00430","LK433_RS00430"
"LK433_RS00470",-0.364075090463006,11.2548312153688,26.1854166211063,3.78228087245181e-06,0.00010399399982969,"LK433_RS00470","LK433_RS00470"
"LK433_RS13035",-0.337627250245258,11.508205682276,25.9531602919869,4.10758366347031e-06,0.000111830978759383,"LK433_RS13035","LK433_RS13035"
"LK433_RS13810",-0.577248890480644,8.30093882673389,25.8847411493944,4.20884773380927e-06,0.000113475438415421,"LK433_RS13810","LK433_RS13810"
